id,nombre,foto
1,Martín Insaurralde,insaurralde.jpg
2,Juliana Di Tullio,di_tullio.jpg
3,Verónica Magario,magario.jpg
4,Héctor Recalde,recalde.jpg
5,Sergio Massa,massa.jpg
6,Darío Giustozzi,giustozzi.jpg
7,Mirtha Tundis,tundis.jpg
8,Felipe Solá,sola.jpg
9,Margarita Stolbizer,stolbizer.jpg
10,Ricardo Alfonsín,alfonsin.jpg
11,Héctor Gutiérrez,gutierrez.jpg
12,Gabriela Troiano,troiano.jpg
13,Francisco de Narváez,de_narvaez.jpg
14,Omar Plaini,plaini.jpg
15,Claudia Rucci,rucci.jpg
16,Gustavo Ferrari,ferrari.jpg
17,Néstor Pitrola,pitrola.jpg
18,Myriam Bregman,bregman.jpg
19,Gerónimo Venegas,venegas.jpg
20,Teresa G. Fernández,fernandez.jpg
21,Gabriela Michetti,michetti.jpg
22,Diego Santilli,santilli.jpg
23,Fernando Pino Solanas,solanas.jpg
24,Fernanda Reyes,reyes.jpg
25,Daniel Filmus,filmus.jpg
26,Paula Español,espanol.jpg
27,Claudio Dellecarbonara,dellecarbonara.jpg
28,Claudio Lozano,lozano.jpg
29,Adrián Sergio Sallustio,sallustio.jpg
30,Sergio Bergman,bergman.jpg
31,Federico Sturzenegger,sturzenegger.jpg
32,Laura Alonso,alonso.jpg
33,Jorge Triaca,triaca.jpg
34,Juan Cabandié,cabandie.jpg
35,Liliana Mazure,mazure.jpg
36,Carlos Heller,heller.jpg
37,Ricardo Forster,forster.jpg
38,Elisa Carrió,carrio.jpg
39,Martín Lousteau,losteau.jpg
40,Fernando Sánchez,sanchez.jpg
41,Carla Carrizo,carrizo.jpg
42,Jorge Altamira,altamira.jpg
43,Luis Zamora,zamora.jpg
44,Itai Hagman,hagman.jpg
45,Norma Gómez,gomez.jpg